order_id,service_category,delivery_type,origin_node_type,origin_node_name,origin_operator,dest_node_type,final_carrier,num_ops,num_processes,num_legs,num_transfers,has_crossdocking,has_first_mile,num_operators,total_span_hours,picking_window_hours,total_process_time_mins,complexity_score,short_picking_window,anomalous_span,complex_route,seller_origin,span_ratio
FOFCL000028467654,MESON,COLLECT,WAREHOUSE,LOF1-FBY-9006,FALABELLA,STORE,FALABELLA,6,3,3,2,True,True,2,36.0,27.0,570,60,False,False,False,False,1.3846153846153846
FOFCL000028467605,MESON,COLLECT,WAREHOUSE,LOF1-FBY-9006,FALABELLA,STORE,FALABELLA,6,3,3,2,True,True,2,36.0,15.0,450,60,False,False,False,False,1.3846153846153846
FOFCL000028467584,MESON,COLLECT,SELLER,HASBROGSC-SCE577312940B38,SELLER,PICKUP_POINT,BLUEEXPRESS,6,3,3,2,True,True,1,25.52,8.0,840,65,False,False,False,True,0.9815384615384615
FOFCL000028467602,REGULAR,HOME_DELIVERY,WAREHOUSE,FALABELLA FBY BT,HOME DELIVERY CORP,WAREHOUSE,HOME DELIVERY CORP,2,1,1,0,False,False,1,36.02,16.5,90,0,False,False,False,False,1.0594117647058825
FOFCL000028467588,MESON,COLLECT,STORE,FALABELLA QUILPUÃ‰,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028467640,DATE_RANGE,HOME_DELIVERY,SELLER,IMAC HOGARGSC-SC826A9416C38AF,SELLER,THREE_PL_HUB,BLUEEXPRESS,4,2,2,1,False,True,2,36.5,6.0,840,35,False,False,False,True,0.12289562289562289
FOFCL000028467611,MESON,COLLECT,STORE,FALABELLA QUILPUÃ‰,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028467676,REGULAR,HOME_DELIVERY,SELLER,DCIC GROUPGSC-SC942939F0EB079,SELLER,CROSSDOCK_HUB,HOME DELIVERY CORP,6,3,3,2,True,True,1,25.17,8.0,750,65,False,False,False,True,0.7402941176470589
FOFCL000028467586,MESON,COLLECT,STORE,FALABELLA TEMUCO,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,1.0,60,5,True,False,False,False,0.5
FOFCL000028430158,MESON,COLLECT,STORE,FALABELLA MALL PLAZA TOBALABA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,11.0,1.0,60,5,True,False,False,False,0.4230769230769231
FOFCL000028467778,MESON,COLLECT,SELLER,BAZIANIGSC-SC401DBFF3C8B49,SELLER,STORE,FALABELLA,6,3,3,2,True,True,2,28.0,8.0,780,70,False,False,False,True,1.0769230769230769
FOFCL000028467660,MESON,COLLECT,STORE,FALABELLA LA SERENA,FALABELLA,STORE,FALABELLA,2,1,1,0,False,False,1,13.0,2.0,120,5,True,False,False,False,0.5
